reference,model,price,mileage,power_kW,power_CH,etat,proprietaires_prec.,dernier_controle_technique,garantie,carnet_dentretien,marque,n_dannonce,annee,couleur_exterieure,type_de_peinture,couleur_originale,carrosserie,transmission,vitesses,cylindree,cylindres,poids_a_vide,description,url
as24_2726e087-0e10-4de7-b376-fd3277db695d,Honda Forza 300,3999,11500.0,,,Occasion,,1970-01-01 00:00:00,1970-01-01 00:00:00,,Honda,2047029.0,2019,Bleu,,Bleu,Scooter,,,300 cm³,0,,"A saisir ! HONDA FORZA 300 BLEU Rviser et garantie 6 mois OPTIONS : ABS Reprise et financement possible Livraison possible dans toute la France Kawasaki Avignon (Plante JMS Motos) 1 BIS RTE DE MORIERES 84000 AVIGNON 04 90 87 70 70 ANNONCE NON CONTRACTUELLE /// KAWASAKI, YAMAHA, HUSQVARNA, HONDA, SUZUKI, BMW, DUCATI, KTM, HARLEY DAVIDSON, MOTO GUZZI /// TRAIL, SUPERMOTARD, CUSTOM, ROUTIRE, SPORTIVE, ROADSTER, CROSS, SCOOTER /",https://www.autoscout24.fr/offres/honda-forza-300-essence-bleu-2726e087-0e10-4de7-b376-fd3277db695d
as24_2a63cfd7-c714-4a72-b2ec-474d77e140e7,Honda VFR 1200,11500,10286.0,,,Occasion,,1970-01-01 00:00:00,1970-01-01 00:00:00,,Honda,1883435.0,2015,,,,Routière,,,1.200 cm³,0,,bon etat bulle haute selle confort,https://www.autoscout24.fr/offres/honda-vfr-1200-dct-essence-2a63cfd7-c714-4a72-b2ec-474d77e140e7
as24_8a4f0d46-edbd-4157-89b1-f44a3632b451,Honda CB 1000,9000,8591.0,,,Occasion,,1970-01-01 00:00:00,1970-01-01 00:00:00,,Honda,2038471.0,2017,Blanc,,Blanc,Roadster,,,1.000 cm³,0,,A vendre Honda Cb 1000 R Carnet d&#39entretien ok Double de cl ok Moto neuve et toujours entretenue dans notre concession Pasquier Motos Avranches _Options : quipements (non dorigine) -rtro -ligne complte akrapovic -selle confort -lche roue -sabot moteur Etc...,https://www.autoscout24.fr/offres/honda-cb-1000-r-essence-blanc-8a4f0d46-edbd-4157-89b1-f44a3632b451
as24_cb6e780c-3962-48a1-8cc3-914ac24eb6b6,Triumph,6800,20000.0,,,Occasion,,1970-01-01 00:00:00,1970-01-01 00:00:00,,Triumph,2018976.0,2016,Argent,,Argent,Sportive,,,900 cm³,0,,VHICULE VENDU EN PROCDURE RSV/VEI AUX PROFESSIONNELS OU EN PICES DTACHES AUX PARTICULIERS OU POUR USAGE SUR PISTE. -LA CARTE GRISE ORIGINALE EST DISPONIBLE POUR LA VENTE A L EXPORT UNIQUEMENT N13215,https://www.autoscout24.fr/offres/triumph-essence-argent-cb6e780c-3962-48a1-8cc3-914ac24eb6b6
as24_b4065a15-8120-4335-b9dd-83225438c37c,Oldtimer Honda,2490,5194.0,,,Ancêtre,,1970-01-01 00:00:00,1970-01-01 00:00:00,,Oldtimer,2047246.0,1983,Blanc,,Blanc,Trial,,,200 cm³,0,,"Dmarre A rviser/restaurer Documents fournis la vente : _ carte grise japonaise (originale), _ facture, _ certificat de cession, _ certificat 846A des Douanes. _ Livraison Bouches-du-Rhne = 156 _ Livraison France (hors Corse) = 276 _ Livraison Portugal et Espagne = MONCAO +351 912 127 178 / moncaotir@gmail.com _ Livraison Allemagne et Belgique = ANNATRANS +32 56 84 36 22 / annatrans@sdgg.be 50 80 125 250 TL TLS XL XLR XLS TY REFLEX",https://www.autoscout24.fr/offres/oldtimer-honda-essence-blanc-b4065a15-8120-4335-b9dd-83225438c37c
as24_4fd687a5-642f-4fe7-9ae0-63c0fad6d746,Triumph,10300,6000.0,,,Occasion,,1970-01-01 00:00:00,1970-01-01 00:00:00,,Triumph,1882106.0,2017,Noir,,NOIR,Roadster,,,765 cm³,0,,Echappement Arrow homologué,https://www.autoscout24.fr/offres/triumph-street-triple-765-rs-essence-noir-4fd687a5-642f-4fe7-9ae0-63c0fad6d746
as24_5c63624f-12fe-448e-8d6b-0ba740d78d39,Autres,13990,47420.0,,,Occasion,,1970-01-01 00:00:00,1970-01-01 00:00:00,,,2001288.0,2008,Noir,,NOIR,Custom,,,1.584 cm³,0,,"Options : Garantie 3 mois avec possibilit d'extension 12 mois, platines repose pied, sirne, poignes skull, top case enrouleur, sacoche guidon LA MAISON DE LA MOTO - 06250 MOUGINS - FRANCE Tel :04.93.75.18.40 - email : info@maisondelamoto.fr Website: http://www.maisondelamoto.fr",https://www.autoscout24.fr/offres/others-others-harley-davidson-essence-noir-5c63624f-12fe-448e-8d6b-0ba740d78d39
as24_89a2d11c-2bcb-4191-8dcc-258ba4d583ec,Honda CB 125,3790,13662.0,,,Occasion,,1970-01-01 00:00:00,1970-01-01 00:00:00,,Honda,2047795.0,2018,Rouge,,Rouge,Roadster,,,125 cm³,0,,"Votre concession Honda, Folie-Mricourt, vous propose ce magnifique CB125R de dcembre 2018 et de 1re main totalisant 13.662 Kms. La moto, trs propre, est quipe d'un top-case 39l. permettant de loger un casque. Vhicule en parfait tat mcanique, rvise par nos soins il y a 500kms et contrle pour la vente. Moto garantie 3 mois sans aucuns frais prvoir. Vendu avec sa pochette, historique d'entretien et ses 2 clefs . Tarif hors frais d'immatriculation. Nous finanons et assurons votre vhicule sur simple demande. Reprise possible. TOUTES LES PHOTOS SUR : F O L I E M E R I C O U R T . F R *",https://www.autoscout24.fr/offres/honda-cb-125-essence-rouge-89a2d11c-2bcb-4191-8dcc-258ba4d583ec
as24_08e077c3-df56-7b7f-e053-0100007f4e57,Honda CB 750 four,7900,28900.0,49.0,67.0,Occasion,,1970-01-01 00:00:00,1970-01-01 00:00:00,,Honda,,1978,Noir,,,,,,,0,,À vendre Honda CB 750 K 7Très bien entretenueFactures d’entretienCause décès,https://www.autoscout24.fr/offres/honda-cb-750-four-essence-noir-08e077c3-df56-7b7f-e053-0100007f4e57
as24_f6f864b9-a022-8103-e053-0100007f5450,Piaggio MP3 125,1200,44000.0,1.0,1.0,Occasion,,1970-01-01 00:00:00,1970-01-01 00:00:00,,Piaggio,,2009,Noir,,,,,,,0,,Je vends mon Piaggio MP3 125 pour l'export.Il a été révisé (courroie galet vidange)La Fourche est neuve.Le roll lock est nickel.Les freins ont été purgés.Le véhicule est fourni avec tablier et double des clésLes deux pneus avant sont neufs de chez MichelinLa batterie a été changéeC'est une deuxième main.Appelez moi au 06 11 85 76 29,https://www.autoscout24.fr/offres/piaggio-mp3-125-essence-noir-f6f864b9-a022-8103-e053-0100007f5450
as24_916ecb11-5232-49e3-a7c8-0d41b0ac32e1,Oldtimer Honda,4990,19931.0,,,Ancêtre,,1970-01-01 00:00:00,1970-01-01 00:00:00,,Oldtimer,2048458.0,1986,,,,Autres,,,400 cm³,0,,"Rservoir refaire Dmarre Kilomtrage certifi par CT Kilomtrage suivi A rviser/restaurer (carburation/injection, bougie(s), vidange, freins, pneus) Documents fournis la vente : _ carte grise japonaise (originale), _ facture, _ certificat de cession, _ certificat 846A des Douanes. Livraison Bouches-du-Rhne = 156 * Livraison France (hors Corse) = 276 * Livraison Portugal, Espagne, Belgique et Allemagne 125 250 500 RG GAMMA RD RDLC RZ RZR RS NS TZ TZR",https://www.autoscout24.fr/offres/oldtimer-honda-essence-916ecb11-5232-49e3-a7c8-0d41b0ac32e1
as24_f19d89ff-80ce-4350-9d27-44447a3c37e8,Ducati,3495,40000.0,,,Occasion,,1970-01-01 00:00:00,1970-01-01 00:00:00,,Ducati,2045116.0,2010,Noir,,Noir,Supermotard,,,1.100 cm³,0,,"Moto accidente DUCATI 1100 HYPERMOTARD en procdure RSV Rserve aux professionnels Vente possible aux particuliers COMPLETE uniquement pour pices N de rfrence : 50339 VEHICULE EN PROCEDURE RSV - Si vous tes un particulier, vendue uniquement pour la pice dtache (rcupration de pices, piste, circuit, comptition, stunt) - Si vous tes professionnel, ce vhicule vous sera vendu avec son dossier RSV complet (1er rapport d'expertise et carte grise originale) - Livraison en France possible - Vente l'export possible",https://www.autoscout24.fr/offres/ducati-essence-noir-f19d89ff-80ce-4350-9d27-44447a3c37e8
as24_4c7710f4-3202-44c8-8f1c-739e802cc768,BMW R 100 R,10990,10000.0,,,Occasion,,1970-01-01 00:00:00,1970-01-01 00:00:00,,BMW,5684.0,1982,Bleu,,BLEU,Autres,Boîte manuelle,,,0,,Boucle arrière modifiée transmission cardan démarreur électrique 2 places Feu arrière a leds Café racer protection carter Peinture réservoir récente Double échappements .. (),https://www.autoscout24.fr/offres/bmw-r-100-r-100-rs-essence-bleu-4c7710f4-3202-44c8-8f1c-739e802cc768
as24_f341cabd-20aa-4218-80ef-25100af8d488,Indian Roadmaster,25450,16214.0,,,Occasion,,1970-01-01 00:00:00,1970-01-01 00:00:00,,Indian,2048033.0,2019,Gris,,Gris,Custom,,,1.811 cm³,0,,"ETAT IRREPROCHABLE, 1ERE MAIN, RIEN A PREVOIR, VRAIMENT TRES TRES PROPRE. POUR RAPPEL DES OPTIONS, REGULATEUR DE VITESSE, BULLE ELECTRIQUE, SELLE CHAUFFANTE, POIGNEES CHAUFFANTES, ECRAN TFT COULEUR, BLUETOOTH, RADIO, NAVIGATION. COLORIS TRES CLASSE ET RARE A TROUVER. GOLDWING K1600 GT ELECTRA GLIDE ROAD GLIDE STREET GLIDE VICTORY VISION",https://www.autoscout24.fr/offres/indian-roadmaster-essence-gris-f341cabd-20aa-4218-80ef-25100af8d488
as24_eb623c74-c5be-4e03-a2c5-d3bb70d99477,Honda X-ADV,9999,700.0,,,Occasion,,1970-01-01 00:00:00,1970-01-01 00:00:00,,Honda,1995034.0,2019,Vert,,Vert,Scooter,,,750 cm³,0,,X-ADV 750 Etat neuf 08/2019 GARANTIE CONSTRUCTEUR Couleur Camouflage Attention les cales pieds accessoires ne sont pas fournis,https://www.autoscout24.fr/offres/honda-x-adv-750-essence-vert-eb623c74-c5be-4e03-a2c5-d3bb70d99477
as24_bcf6eeb6-b883-49e7-be96-835f0ec20dd6,Suzuki SV 650,2100,42500.0,25.0,34.0,Occasion,,1970-01-01 00:00:00,1970-01-01 00:00:00,,Suzuki,,1999,Bleu,,,Autres,,,,0,,"Bonjour, Je vends cette suzuki svs 650 bridée A2 . Possibilité de débridage pour ceux qui le souhaitent. Pot dominator , consommables ok, joints spy de fourche refaits. La moto est de 1999 et totalise 42 500 km. Visible sur Loos près de Lille. N'hésitez pas à me contacter pour plus d'informations.",https://www.autoscout24.fr/offres/suzuki-sv-650-essence-bleu-bcf6eeb6-b883-49e7-be96-835f0ec20dd6
as24_a59db151-f1f5-40e3-b1f6-8d7dbc3599cd,Yamaha,3490,6000.0,,,Occasion,,1970-01-01 00:00:00,1970-01-01 00:00:00,,Yamaha,1882040.0,2002,,,,Routière,,,900 cm³,0,,TRES BON ETAT ENTRETIEN A JOUR GARANTIE 3 MOIS INFOS AU 05 57 51 00 94,https://www.autoscout24.fr/offres/yamaha-diversion-essence-a59db151-f1f5-40e3-b1f6-8d7dbc3599cd
as24_b51adb18-693b-411f-a4c4-ac3d5ce62e6b,Yamaha YBR 125,995,3776.0,,,Occasion,,1970-01-01 00:00:00,1970-01-01 00:00:00,,Yamaha,2007529.0,1964,Noir,,Noir,Routière,,,125 cm³,0,,"Yamaha Y21 125 - Dmarre - Type : Y21 - Carte grise collection possible - A rviser / restaurer - Ocydation - Toutes nos motos sont visibles dans notre show room Vitrolles (13127) - Documents fournis la vente : Carte grise Japonaise (original) , Facture, Certificat de cession, Certificat 846A des douanes Franaises. YA6, YA7, A7, HONDA, BENLY, C92, 90, SS, KAWASAKI",https://www.autoscout24.fr/offres/yamaha-ybr-125-essence-noir-b51adb18-693b-411f-a4c4-ac3d5ce62e6b
as24_69646439-b4c9-40f0-b83b-e7bebd65b01c,Yamaha NMAX,2879,300.0,,,Occasion,,1970-01-01 00:00:00,1970-01-01 00:00:00,,Yamaha,2026143.0,2020,Bleu,,Bleu,Scooter,,,125 cm³,0,,"Superbe N-MAX 125 , 1er main, elle est prte a rouler, possibilit de l avoir comme sur la photo quip top case pour 299, le prix indique dans l annonce n inclus pas le pack top case, utilisation loisir, rvise, entirement d origine, entretient a jour, aucun consommable a prvoir, financement et assurances possible sur place, reprise possible, rvise, super tat, utilisation loisirs, malgr cette priode covid, nous sommes et restons ouvert, disponible, et joignable aux horaires d ouverture de la boutique du mardi au samedi. vous avez le droit en remplissant votre attestation et en cochant la case qui vous permet de vous rendre dans un tablissement dont l activits demeurent autorises de venir chez nous, afin de voir et galement d acheter une moto , demandez frederic au 01-64-37-73-13",https://www.autoscout24.fr/offres/yamaha-nmax-125-essence-bleu-69646439-b4c9-40f0-b83b-e7bebd65b01c
as24_c2534af7-745a-4a0b-9d64-6ccc2a2ec2a2,Honda CRF 1100,16358,10.0,75.0,102.0,Occasion,,1970-01-01 00:00:00,1970-01-01 00:00:00,,Honda,dd974d15-9e22-4cc6-91e3-61d475f794b9,2021,Noir,Métallisé,,Collection,Boîte manuelle,,1.084 cm³,2,,"VendeurCarland 18, Route d'EttelbrückL 9230 - Diekirch luxembourgOffice: +352 - 26870011Mobile: +352 - 621250305Fax: +352 - 26870022Véhicule considéré comme neuf et soumis à la TVA France. Non inclus frais Immatriculation : 240€",https://www.autoscout24.fr/offres/honda-crf-1100-l-africa-twin-adventure-sports-essence-noir-c2534af7-745a-4a0b-9d64-6ccc2a2ec2a2
as24_6f2f5490-0807-454c-ab26-a3487ebe9111,TGB Blade 1000,9999,,62.0,84.0,Neuf,,1970-01-01 00:00:00,1970-01-01 00:00:00,,TGB,9af68106-b0e4-4d4c-a975-93d5cb71e9aa,[''],Noir,,,Quad,Boîte automatique,,1.000 cm³,2,,VendeurCar-Project sarl 12 allée Jw LéonardL 7526 - MerschOffice: +352 - 325222Fax: (0)2 - 325222 TGB BLADE 1000 DE STOCKA PARTIR DE 9999 EUROMOTEUR BI-CYLINDRE AVEC 1000 CCM ET 84CV4X4 AVEC REDUCTION;4X4 AVEC PONT BLOQUABLEPHARES LED AV/ARRATTACHE REMORQUE ETC,https://www.autoscout24.fr/offres/tgb-blade-1000-blade-1000-lt-eps-4x4-essence-noir-6f2f5490-0807-454c-ab26-a3487ebe9111
as24_957c757e-689e-4a80-83fa-b16409876e54,Ducati Hypermotard 1100,9999,12800.0,,,Occasion,,1970-01-01 00:00:00,1970-01-01 00:00:00,,Ducati,1905092,2011,,,,,,,1.100 cm³,0,,"CBO MOTO AGEN Concessionnaire HONDA / HUSQVARNA / KYMCO vous propose :INFOS MOTO :CHAPPEMENT TERMIGNONIPNEU AVANT ET ARRIRE NEUFRVISION DES 12000 A JOURSur cette moto rvise en concession :Financement 191 / mois sur 5 ans avec 15% dapport (personnalisable)Livraison possible dans toute la France partir de 190 HTPaiement en 4 fois sans fraisReprise possible sur : CRF, KXF, TC, FC, YZF, SXF...Contact : Tel : 05.53.67.53.05Fabien Calmette : commercial@cbo47.frRichard Sarrabaig : commercial2@cbo47.frAurlien Garnier : direction@cbo47.frAdresse :6 Alle Larroumet et LagardeZ.A.C Lamothe Magnac47550 BoRetrouvez CBO Moto Agen et Toulouse sur nos pages face/book et suivez-nous, et commandez vos pices Husqvarna sur notre site internet cboparts.com .",https://www.autoscout24.fr/offres/ducati-hypermotard-1100-hypermotard-s-essence-957c757e-689e-4a80-83fa-b16409876e54
as24_7e4c05a6-9cec-44dc-8c31-1efc84a71d19,Kymco AK 550,5590,25661.0,,,Occasion,,1970-01-01 00:00:00,1970-01-01 00:00:00,,Kymco,2034858,2017,Argent,,Argent,Scooter,,,550 cm³,0,,"A saisir ! MAGNIFIQUE KYMCO AK 550 GRIS Rviser et garantie 3 mois OPTIONS : ABS Reprise et financement possible Livraison possible dans toutes la France Kawasaki Avignon (Plante JMS Motos) 1 BIS RTE DE MORIERES 84000 AVIGNON 04 90 87 70 70 ANNONCES NON CONTRACTUELLE /// KAWASAKI, YAMAHA, HUSQVARNA, HONDA, SUZUKI, BMW, DUCATI, KTM, HARLEY DAVIDSON, MOTO GUZZI /// TRAIL, SUPERMOTARD, CUSTOM, ROUTIRE, SPORTIVE, ROADSTER, CROSS, SCOOTER /",https://www.autoscout24.fr/offres/kymco-ak-550-essence-argent-7e4c05a6-9cec-44dc-8c31-1efc84a71d19
